	字源出典	りく☆しょ？	燐字学	備考	兄弟	字源	怪しい	キャスっ♡
三	2017年末の燐字海	指事	形集之字			縦棒三本で三を象徴する。		
七	2017年末の燐字海	指事	形集之字			【五】と【二】の組み合わせ。		
八	2017年末の燐字海	指事	形集之字			【五】と【三】の組み合わせ。		
六	2017年末の燐字海	指事	形集之字			【五】と【一】を組み合わせ。		
闇	2017年末の燐字海	会意	集意之字			【閉】と【光】の組み合わせ。		呪術的な雷を表す【光】に光を覆う雲の象徴を加えたもの。
輝	2017年末の燐字海	会意	集意之字			【日】を【光】に加えたもの。		
一	2017年末の燐字海	指事	片字			縦線一本で一を象徴する。		もと【光】の異体字で、ウェールフープは万物の根源かつ唯一の正義とされていたために、「一」を象徴する。
火	2017年末の燐字海	象形	片字			燃え盛る焚き火に象る。		呪術によって発生したウェールフープによる爆発を象り、原義は失敗や不幸を表した。ヴェフィス語における色に対応する概念からも火を忌む文化があったことが分かるが、これと関係していたかもしれない。
五	2017年末の燐字海	指事	片字			横線一本は五の象徴となる。古代の計算法が影響しているとも言われる。		呪術的観点で重要な聖地であった五大洋の「ラネーメ海」「クレオス海」「クワイエ海」「レアディオ海」「ミナース海」を表し、これが転じて五を指す字として使われるようになった。
光	2017年末の燐字海	象形	片字			光に象る。		呪術により敵を撃つために現れる天からの雷の象徴。中央の縦角が雷を表し、横の点は、飛び散った地上の石の破片などを表す。中心の縦角は【神】の異体字である。
四	2017年末の燐字海	指事	片字			四方向を象徴し、四の意味とする。		
手	2017年末の燐字海	象形	片字			広げた手に象る。		呪術に使う犠牲を高くかかげるための刺股に似た道具「ポボ」の形に象る。ポボは時間が経つと廃れ、遂には犠牲をかかげるためには手を使うようになったので手を表すようになった。あるいは、刺股自体を動物の凶暴な爪をもった手として使うようになったものが定着したもの。
神	2017年末の燐字海	象形	片字			ウェールフープの光に象る。		呪術的に起こされる威力のある雷を表す。刀字は異体字として【光】の中心の画に現れる。
人	2017年末の燐字海	象形	片字			人の象形。		手を挙げた人の象形。原義は共同体を率いる祭司長を表していた。
足	2017年末の燐字海	象形	片字			足を象る。		呪術に使われる祭壇に供えられる花束の字形。花は原ファイクレオネ信仰においては地に向けて足を延ばしているようなものと考えられ、人の足を表すものとして動物などと差別化して、祭壇の花束という聖化された対象で表した。
筆	2017年末の燐字海	象形	片字			筆の象形		「ポボ」に良く似た「クハ」と言う呪具に象る。「クハ」は生贄を殺めるための道具で、その際に血液などが飛び散るさまから「痕跡を残す」と言う意味に変わり、後に「書く」という意味になった。
無	2017年末の燐字海	指事	片字			小さな点で原初たる無を象徴する。		統一を表す点、転じて、原ファイクレオネ信仰における「終着点」(Lesbackastan)＝フィメノーウル信仰のアルセウンテンフィーマを表した。アルセウンテンフィーマでは、人間の意志やすべての物体と意思があってないものであるために、また転じて無を表すようになった。
言	2017年末の燐字海	指事象形	片字	【五】ではないので		【口】からの気息を指示する。		
皇	2017年末の燐字海	？	片字	複字素だとしても歪字		不詳？	闇と光の象徴を重ねたもの？	呪術に使われる供え物を入れる枡が満杯で溢れていることを象形している。転じて、溢れるほどの供え物をされる対象としての最高神を表す。
行	2017年末の燐字海	会意	層字			【足】と【足】で行く様を象徴する。		刀字では【足】が二つ重なっている。これは手前と奥が道の手前と奥を表しており、呪術に使われる花束を持って道を行列する人々を表した。原義はある集落から徳のある祭司などに会いに行くために行列することであったが、転じて一般化している。
在	2017年末の燐字海	象形指事	片字	下位分類「しるしつけた字」		【処】を強調したもの。		呪術において使われる祭壇に乗せられる器を表す。器に供え物を置くという行為が、文化的な観点で強く「存在」を表したために、一般的な存在の意に転義した。
字	2017年末の燐字海	象形	声之別字		【値】【色】【傷】	多数の刻みの象形で、「文字」を象徴する。		古代ファイクレオネの信仰に従うと呪術で処刑された人間の名前を記録しておく必要があり、石や木に刻まれた処刑者の名字を原義とし、それらが文字利用が進んでゆく中で一般的な文字として表されるようになったもの。
水	2017年末の燐字海	象形	片字		 	水の波の形に象る。		呪術において使われる供え物の象徴。原ファイクレオネ信仰には水信仰に近いものがあり、元々供え物の象形だったものが、重要視される安置される水と意味が入れ替わっていった。
二	2017年末の燐字海	指事	形集之字			縦線二本で二を象徴する。		水の波の形を象徴している。
祭		会意	形集之字			【巫】が【火】の横に存在している様子で祭りを描写する。		
綿		会意	層字			【糸】と【糸】で綿を表す。		
棉		会意	層字			【糸】と【糸】で綿を表す。		
網		象形	片字			網の象形。		
再		指事	声之別字		【二】	二本の線で起こるのが二回目であることを象徴する。		
目		象形	片字			目の象形。		
夏		会意	集意之字			【火】と【日】の組み合わせ。		
蜜		会意	集意之字			【花】と【水】の組み合わせ。		
識		会意	集意之字			【心】と【入】の組み合わせ。		
処						横棒二本で場所を象徴する。		
須	lin-marn.html	会意とも取れる形声	意之別字	【虫】からの意符付加分化		意符【⿱五米】に音符【虫】で「米粉とスパイスからなる料理名」の意。	【⿱五米】や【虫】は在らねばならないものであるから。	
顫	lin-marn.html	会意	意之別字	【震】からの意符付加分化		【震】に【処】を加え、意味を地震に限定したもの。		
振	lin-marn.html		歪字	【顫】の訛字		【顫】の上部真ん中の構成要素が【書】の影響で変化したもの。		
瑪	lin-marn.html		歪字	【馬】の異体楷書化		【馬】の異体楷書化		
帽	lin-marn.html		歪字	【冠】の訛字		【冠】の下部要素が【長】の影響で変化したもの。		
橋	lin-marn.html	象形	片字			橋の象形。		
失		会意	集意之字			【手】を【無】で否定したもの。		
百	lin-marn.html	会意とも取れる形声	意之別字	【大】からの音符付加分化		意符かつ音符【大】（燐帝統一前は「おおきい」と「ひゃく」の両義を持っていた）、音符【極】の略体で【物】		
佰	lin-marn.html	会意とも取れる形声	意之別字	【大】からの音符付加分化		意符かつ音符【大】（燐帝統一前は「おおきい」と「ひゃく」の両義を持っていた）、音符【極】の略体で【物】		
赤		会意	集意之字			【火】と【色】の組み合わせ。		
兄	lin-marn.html					【上】と【輩】と、【男】の略体【腹】の組み合わせ。		
健	lin-marn.html	会意	集意之字			【人】と【善】で「道徳的に優れた者」が燐帝期の義。		
健	lin-marn.html		使多言一	根拠言語: 東島通商語		【人】lata + 【善】panka。現代義「健康」は東島通称語の語形成によるもの。		
刻	lin-marn.html		意之別字	【片】からの意符付加分化		【片】が一日の100分の1を表すときのために【日】を付けて特殊化した分化字。		
浬	lin-marn.html		歪字	【哩】の訛字		【哩】を崩して【二】+【花】+【貓】となったもの。		
啌			意之別字	【美】からの意符付加分化		音符【美】、意符【声】		
哇			意之別字	【而】からの意符付加分化		音符【而】、意符【声】		
氏	lin-marn.html			【族】の動用略体		【族】を動用して略したもの。		
閥			使多言一	根拠言語: バート語		【闇】bhát + 【氏】nímaṣ		
冬	lin-marn.html	会意	集意之字			【閉】と【日】で中緯度における農業の終わりである冬を表したもの。		
青		会意	集意之字			【色】と【水】で澄んだ水の色を表したもの。		
享	lin-marn.html			【⿱受果】の略体		【受】の上半分である【筆】の下に、【果】を足した形。		
立		会意	形集之字			【人】が地面を表す【五】の上に存在している様子で立っている様子を描写する。		
恒				【⿱終始】の略体		【始】と【終】を融合させたもの。		
寐		会意	集意之字			【闇】と【行】の組み合わせ。		
歌		会意	層字			【声】と【声】で歌う様を表す。		
翰		会意	集意之字			【軸】と【筆】で編纂者、編集者、もしくは書記官の長とか、主張の根幹とかを表す。		
纂		会意	集意之字			【軸】と【筆】で編纂者、編集者、もしくは書記官の長とか、主張の根幹とかを表す。		
針		象形	片字		【反】	針の象形。		
笛		会意	集意之字			【声】と【筒】の組み合わせ。		
笙		会意	集意之字			【声】と【筒】の組み合わせ。		
竺		会意	集意之字			【木】と【筒】の組み合わせ。		
竹		会意	集意之字			【木】と【筒】の組み合わせ。		
多		会意	層字			【人】と【人】で人の多い様を表す。		
極		会意	層字			【物】と【物】で物の多い様を表す。		
即		会意	層字			【而】と【而】で概念間の強いつながりを表す。		
倒			歪字	【↺人】の訛字		横倒しになった【人】が訛字で【左】と【閉】へとちぎれたもの。		
吁			歪字	【⿸声之】の訛字		音符【之】、意符【声】が訛字で【五】と【水】へとちぎれたもの。		
㕮		形声	意之別字	【父】からの意符付加分化		音符【父】、意符【声】	シャーツニアーは「父は偉大なるアレフィスの天使の一つであり、父性を表すベーシャを表すのではないか」と説いた。こうして咳はベーシャがその者に何かを伝えようとする印としての解釈がなりたつようになり、	
店		会意	集意之字			【銭】と【処】の組み合わせ。		
聯		形声				音符【衣】、意符【連】		
父		会意	集意之字			【上】と【男】の組み合わせ。		
母		会意	集意之字			【上】と【女】の組み合わせ。		
善		会意	集意之字			【上】と【心】の組み合わせ。		
悪		会意	集意之字			【心】と【下】の組み合わせだが、デザインにより撥ねることが多い。		
平	lin-marn.html	象形	片字			板の象形。		
守		会意	集意之字			【平】と【人】の組み合わせ。		
哩		形声	ヤバ			リパラオネの音写【二】【闇】【閉】と宗教を表す【論】を合わせた字。	【水】（よどみ無く）【光】（はっきりと）【二】（もう一度）【論】（言う）	
御		会意	集意之字			【大】と【力】の組み合わせ。		
禦		会意	集意之字			【大】と【錘】の組み合わせ。		
金	異体字プレゼン	象形指事	片字	下位分類「しるしつけた字」		【石】を強調したもの。		
欽	異体字プレゼン		歪字	【金】の訛字		【金】の欠格		
衣		象形	片字			ぶら下がった反物の象形。		
布		いわゆる会意兼形声		【衣】からの意符付加分化		音符かつ意符【衣】、意符【糸】		
累			歪字	【積】の訛字		【積】がちぎれたもの。		
菓		象形	片字			果実の実る様子の象形。【終】と紛らわしいこともあり燐帝整理により異体字認定された。		
貧		会意	集意之字			【少】と【銭】の組み合わせ。		
静		会意	集意之字			【声】を【無】で否定したもの。		
定		会意	集意之字			【手】と【一】の組み合わせ。		
寝		会意	集意之字			【足】と【闇】の組み合わせ。		
琴		会意	集意之字			【糸】と【声】の組み合わせ。		
油		会意	集意之字			【火】と【水】の組み合わせ。		
春		会意	集意之字			【花】と【日】の組み合わせ。		
茶		会意	集意之字			【草】と【水】の組み合わせ。		
脂		会意	集意之字			【火】と【膠】の組み合わせ。		
戦		会意	層字			【兵】と【兵】の組み合わせ。		
味		象形	片字			舌の象形。		
甘		会意	集意之字			【上】と【味】の組み合わせ。		
救			歪字	【助】の訛字		【助】の下部が【人】に転じたもの。	【人】の上に線を引き、人が救われる様を表す。	
雪		会意	集意之字			【天】と【花】の組み合わせ。		
美			歪字	【麗】の訛字		【麗】の上部が【平】に転じたもの。		
麗		会意	集意之字			【目】と【上】の組み合わせ。		
片			歪字			【石】に点を付して石の欠片を表したものが訛った。		
唯						不詳。なんらかの道具の仮借か。	【十】を【無】で否定し、十個ではなくただ一つであることを表す。	
倉		象形	片字			倉の象形。	【鳥】と【閉】により、鳥が羽を閉じて倉の上で休む様子を表す。/【鳥】を詰め込んだ倉を象徴的に書いたもの。	
木		象形	片字			木の象形。		
虫		象形	片字			虫の象形。		
天		象形	片字			地面を覆っている天の象形。/【閉】の兄弟かも。		古来、天というのは地面を覆っているものだと考えられてきており、それの形を描いたもの。
端		指事	片字			縦棒の端を強調したもの。		
季		会意	集意之字			【星】と【輪】の組み合わせ。		
九		指事	形集之字			【五】と【四】の組み合わせ。		
於		指事	片字			【処】に対して場所を示すべく縦棒を加え、【大】との区別のためさらに点を加えたもの。/【在】の訛という説もある。		
乎		会意	使多言一	根拠言語: パイグ語/バート語		【亦】y/jo +【無】mun1/ám。		
箱		象形	片字			箱の象形。		
秋		会意	形集之字			【米】が【刀】により収穫される様子で秋を描写する。		
穐		会意	形集之字			【⿱五米】が【刀】により収穫される様子で秋を描写する。		
笑		会意	集意之字			【足】と【善】の組み合わせ。		
壊		会意	集意之字			【足】と【悪】の組み合わせ。		
鎖		会意	集意之字			【連】と【輪】の組み合わせ。		
柔			歪字	【軟】の訛字		【軟】の左を【糸】へと略したもの。		
軟		会意	集意之字			【棉】と【如】の組み合わせ。		
隊		会意	層字			【兵】と【兵】の組み合わせ。		
棚		象形	片字			棚の象形。		
箏		会意	集意之字			【声】と【机】の組み合わせ。		
紙		会意	集意之字			【筆】と【衣】の組み合わせ。		
墨		会意	集意之字			【筆】と【水】の組み合わせ。		
黒		会意	集意之字			【色】と【闇】の組み合わせ。		
